#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)"
26.1%,26150,609.885498046875,329.0637333511404
26.2%,26200,616.1331787109375,311.00658118352277
26.2%,26250,669.0084228515625,302.3394945761715
26.3%,26300,680.0847778320312,300.438833357411
26.4%,26350,620.4932861328125,338.6171283150415
26.4%,26400,612.7409057617188,326.47593837726185
26.4%,26450,648.1889038085938,317.67046665260824
26.5%,26500,628.089111328125,329.6884340254427
26.6%,26550,619.0321655273438,332.07290245910133
26.6%,26600,608.4913330078125,315.3197493670241
26.6%,26650,662.04248046875,309.13291095492644
26.7%,26700,671.1490478515625,302.45537900009873
26.8%,26750,701.830810546875,283.8508460455929
26.8%,26800,659.7667236328125,312.91038624317207
26.9%,26850,620.8555297851562,338.5153924115839
26.9%,26900,599.1046142578125,336.5895308255686
26.9%,26950,677.5440673828125,296.43466454331775
27.0%,27000,627.1751708984375,327.6628586850921
27.1%,27050,622.3349609375,340.988338406452
27.1%,27100,655.800537109375,311.24726990358886
27.1%,27150,610.8582763671875,343.96581159311046
27.2%,27200,638.9634399414062,291.0166381679873
27.2%,27250,653.2201538085938,292.148805026366
27.3%,27300,632.0237426757812,287.80440404466293
27.4%,27350,665.06201171875,272.45319816497795
27.4%,27400,626.650390625,334.643576473867
27.4%,27450,610.0830688476562,356.6399163476148
27.5%,27500,631.85009765625,315.75459802787486
27.6%,27550,622.16259765625,294.66252721511313
27.6%,27600,607.42626953125,314.8107751805559
27.6%,27650,638.4249267578125,304.28563246079057
27.7%,27700,633.944091796875,302.16747972685823
27.8%,27750,610.3145751953125,309.06840260112665
27.8%,27800,651.7782592773438,296.7344563314354
27.9%,27850,644.672607421875,298.0170638519822
27.9%,27900,635.7593994140625,304.8828933180722
27.9%,27950,648.3900146484375,278.2978822147057
28.0%,28000,620.112548828125,296.3092613250944
28.1%,28050,688.9952392578125,267.1166593592536
28.1%,28100,642.752685546875,329.86457205203726
28.1%,28150,648.0386352539062,337.40588204243727
28.2%,28200,665.9160766601562,295.0046137366643
28.2%,28250,628.6275024414062,341.60185842575646
28.3%,28300,622.5669555664062,347.7125452393481
28.4%,28350,644.198486328125,346.4944238341473
28.4%,28400,643.6885986328125,330.3421941928127
28.4%,28450,685.9564208984375,299.84377924628666
28.5%,28500,685.7060546875,289.7062332189613
28.6%,28550,638.0123291015625,316.0115966175588
28.6%,28600,610.8656616210938,313.85181876474445
28.6%,28650,641.4189453125,310.30898322979345
28.7%,28700,607.0216064453125,332.31619257820364
28.8%,28750,696.330810546875,283.69007700913363
28.8%,28800,653.9842529296875,312.47766529109094
28.9%,28850,629.2694091796875,318.0643474277622
28.9%,28900,636.7713623046875,295.6731492810041
28.9%,28950,651.2257080078125,315.00885895429315
29.0%,29000,670.2069091796875,310.1799081637547
29.1%,29050,688.71533203125,306.2352273908573
29.1%,29100,660.1004028320312,342.9189801999116
29.1%,29150,685.4624633789062,304.9544324129716
29.2%,29200,654.8402709960938,319.4505854748178
